Número registre,Nom establiment,Codi tipus establiment,Tipus establiment,Codi establiment pare,Titular,Telèfon,Codi tipus de via,Tipus de via,Nom de la via,Número de la via,Quilòmetre,Bloc,Portal,Escala,Pis,Porta,Codi postal,Codi municipi,Municipi,Article municipi,Codi comarca,Comarca,Codi província,Província,Codi ABS,ABS,Codi sector sanitari,Sector sanitari,Codi regió sanitària,Regió sanitària,Longitud,Latitud,Georeferència
F17001773,"POU JUANOLA, SANTIAGO.",F,Farmàcia,,SANTIAGO POU JUANOLA,972615859,CR,CARRER,PIRROIG,23,,,,,,,17200,17117,PALAFRUGELL,,10,BAIX EMPORDA,17,GIRONA,172,Palafrugell,6461,Girona Nord,64,Girona,3.186256948,41.888876343,POINT (3.186256948 41.888876343)
V43544988,ÒPTICA SALAS,V,Òptica,,"OPTICA SALAS, S.L.",,CR,CARRER,D'EN CARBO,7,,,,,,,43500,43155,TORTOSA,,09,BAIX EBRE,43,TARRAGONA,255,Tortosa - 1 Est,6360,Terres de l'Ebre,63,Terres de l'Ebre,0.52086705,40.811608707,POINT (0.52086705 40.811608707)
A08560637,OPTICA VISIÓ,A,Audiopròtesi,,"Caballé Fontanet, Daniel",,CT,CARRETERA,CARDONA,6,,,,,,,08242,08113,MANRESA,,07,BAGES,08,BARCELONA,146,Manresa - 2,6763,Solsonès - Bages - Berguedà,67,Catalunya Central,1.822704801,41.725485837,POINT (1.822704801 41.725485837)
F08005721,"JULVE RUBIO, JORDI",F,Farmàcia,,Jordi Julve Rubio,933191748,AV,AVINGUDA,FRANCESC CAMBO,12,,,,,,,08003,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,017,Barcelona - 01B,7846,Barcelona Ciutat Vella,78,Barcelona,2.177515336,41.385823331,POINT (2.177515336 41.385823331)
F08024058,"GUÀRDIA PASCUAL, DIDAC",F,Farmàcia,,Dídac Guàrdia Pascual,935361662,RD,RONDA,PRESIDENT TARRADELLAS,34,,,,,,,08303,08121,MATARÓ,,21,MARESME,08,BARCELONA,157,Mataró - 6,7867,Barcelonès Nord i Maresme,78,Barcelona,2.421415976,41.536820161,POINT (2.421415976 41.536820161)
F43001685,"PEDROLA FERRANDO, MONTSERRAT",F,Farmàcia,,"PEDROLA FERRANDO, MONTSERRAT",977221759,CR,CARRER,PIRINEUS,121,,,,,,,43130,43148,TARRAGONA,,36,TARRAGONES,43,TARRAGONA,352,Tarragona - 7,6258,Tarragonès - Baix Penedès,62,Camp de Tarragona,1.240560548,41.160807752,POINT (1.240560548 41.160807752)
V08513108,ÒPTICA MÈDICA,V,Òptica,,"Baza Garcia, Germán",,CR,CARRER,PSTGE. NOI DEL SUCRE,5,,,,,,,08130,08260,SANTA PERPÈTUA DE MOG,,40,VALLES OCCIDENTAL,08,BARCELONA,230,Santa Perpètua de Mogoda,7842,Vallès Oriental,78,Barcelona,2.184594505,41.53457583,POINT (2.184594505 41.53457583)
P08724966,SECCIÓ ORTOPÈDIA FARMÀCIA MIREIA BARGALLÓ FERRER,P,Ortopèdia,F08004809,Sra. Mireia Bargalló Ferrer,932178375,PL,PLAÇA,LESSEPS,11,,,,,,,08023,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,049,Barcelona - 06C,7852,Barcelona Gràcia,78,Barcelona,2.150983277,41.407037123,POINT (2.150983277 41.407037123)
V17562994,FARMÀCIA OPTICA LORES,V,Òptica,F17003080,"LORES CATALAN, M. CARMEN",,CR,CARRER,ENRIC GRANADOS,17,,,,,R,,17320,17202,TOSSA DE MAR,,34,SELVA,17,GIRONA,142,Lloret de Mar,6462,Girona Sud,64,Girona,2.932472724,41.721935422,POINT (2.932472724 41.721935422)
F08017220,"GALINDO PLANAS, CRISTINA",F,Farmàcia,,Cristina Galindo Planas,933136709,CR,CARRER,GRAN VIA CORTS CATALANES,1113,,,,,,,08020,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,331,Barcelona - 10J,7847,Barcelona Sant Martí,78,Barcelona,2.205171278,41.417761643,POINT (2.205171278 41.417761643)
V08501208,OPTICALIA PIERA,V,Òptica,,"OPTICA CAPELLADES, SL",937797079,CR,CARRER,PIERETA,39,,,,,,,08784,08161,PIERA,,06,ANOIA,08,BARCELONA,338,Piera,6735,Anoia,67,Catalunya Central,1.753160908,41.523047208,POINT (1.753160908 41.523047208)
F08010672,"BARRACHINA CANOVAS, ANAÏS",F,Farmàcia,,Anaïs Barrachina Cánovas,,CR,CARRER,CARTELLÀ,150-154,,,,,,,08031,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,059,Barcelona - 08C,7854,Barcelona Nou Barris,78,Barcelona,2.166854307,41.429371317,POINT (2.166854307 41.429371317)
F43001886,"ESPLUGAS SOLE, EMMA",F,Farmàcia,,"ESPLUGAS SOLÉ, EMMA",977214566,CR,CARRER,JAUME I,46,,,,,,,43005,43148,TARRAGONA,,36,TARRAGONES,43,TARRAGONA,241,Tarragona - 3,6258,Tarragonès - Baix Penedès,62,Camp de Tarragona,1.243994077,41.1120728,POINT (1.243994077 41.1120728)
A08560764,L'ÒPTICA UNIVERSITÀRIA,A,Audiopròtesi,,"ÒPTICA DEL PENEDÈS, S.L.",932601220,PL,PLAÇA,SANT ROC,7-9,,,,,,,08201,08187,SABADELL,,40,VALLES OCCIDENTAL,08,BARCELONA,190,Sabadell - 1A,7844,Vallès Occidental Est,78,Barcelona,2.10789773,41.546452988,POINT (2.10789773 41.546452988)
F08009885,"MONGUIO SOLIVA, TERESA",F,Farmàcia,,Teresa Monguió Soliva,933873893,RB,RAMBLA,SANT JOAN,180,,,,,,,08917,08015,BADALONA,,13,BARCELONES,08,BARCELONA,281,Badalona - 10,7867,Barcelonès Nord i Maresme,78,Barcelona,2.234975472,41.449679151,POINT (2.234975472 41.449679151)
V08519100,ÒPTICA JORNET,V,Òptica,,Ma Lluisa Jornet Monreal,937851691,CR,CARRER,GERMA JOAQUIM,113,,,,,,,08223,08279,TERRASSA,,40,VALLES OCCIDENTAL,08,BARCELONA,356,Terrassa - G,7843,Vallès Occidental Oest,78,Barcelona,2.02192461,41.552396768,POINT (2.02192461 41.552396768)
V08550325,VISTAÒPTICA,V,Òptica,,"B2B OPTICAL, SL",,PL,PLAÇA,FRANCESC MACIA,4,,,,,BX,,08021,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,042,Barcelona - 05A,7850,Barcelona Sarrià - Sant Gervasi,78,Barcelona,2.14442807,41.393280093,POINT (2.14442807 41.393280093)
F08024185,"SANSI PONSICO, MONTSERRAT",F,Farmàcia,,Montserrat Sansi Ponsico,936976273,CT,CARRETERA,DE TERRASSA,16-18,,,,,,,08191,08184,RUBÍ,,40,VALLES OCCIDENTAL,08,BARCELONA,309,Rubí - 1,7843,Vallès Occidental Oest,78,Barcelona,2.031288421,41.497293425,POINT (2.031288421 41.497293425)
V08733544,OPTICA BOTET PIRO,V,Òptica,,Carlos Ramón Botet Piró,935602704,PL,PLAÇA,ANTONI BAQUÉ,3,,,,,,,08120,08105,LA LLAGOSTA,,41,VALLES ORIENTAL,08,BARCELONA,300,La Llagosta,7842,Vallès Oriental,78,Barcelona,2.192808076,41.512721511,POINT (2.192808076 41.512721511)
A08727332,OPTICA UBACH SL,A,Audiopròtesi,,"Òptica Ubach, SL",937952762,CR,CARRER,MUNT,12,,,,,,,08392,08197,SANT ANDREU DE LLAVANE,,21,MARESME,08,BARCELONA,335,Sant Andreu de Llavaneres,7867,Barcelonès Nord i Maresme,78,Barcelona,2.482498605,41.574041387,POINT (2.482498605 41.574041387)
P43717768,SECCIÓ ORTOPÈDIA FARMÀCIA GLÒRIA LLOPART CATALÀ,P,Ortopèdia,F43001847,"LLOPART CATALA, GLORIA i JORDI SIERRA LLOPART",977200015,BL,BLOCS,SANT SIMÓ,D,,,,,,,43007,43148,TARRAGONA,,36,TARRAGONES,43,TARRAGONA,000,No informat,0000,Desconegut,00,No informat,1.252153345,41.138870665,POINT (1.252153345 41.138870665)
P43711075,SECCIÓ ORTOPÈDIA FARMÀCIA ALBERT SURIOL ROIG,P,Ortopèdia,F43003435,"SURIOL ROIG, ALBERT",977671035,CR,CARRER,RICARD DOMINGO,10,,,,,,,43720,43016,ARBOÇ,L',12,BAIX PENEDES,43,TARRAGONA,314,Baix Penedès - Interior,6258,Tarragonès - Baix Penedès,62,Camp de Tarragona,1.600286321,41.268583728,POINT (1.600286321 41.268583728)
V25516236,CENTRE ÒPTIC RIERA,V,Òptica,,Mª Alba Riera Curt,,AV,AVINGUDA,CATALUNYA,35,,,,,,,25200,25072,CERVERA,,32,SEGARRA,25,LLEIDA,106,Cervera - la Segarra,6156,Lleida,61,Lleida,1.272892659,41.671501266,POINT (1.272892659 41.671501266)
A08555500,VISION LENT,A,Audiopròtesi,,"VISION LENT, SL",936620489,RB,RAMBLA,CASAS,73,,,,,BA,,08850,08089,GAVÀ,,11,BAIX LLOBREGAT,08,BARCELONA,123,Gavà - 2,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.00666073,41.305820404,POINT (2.00666073 41.305820404)
P08731000,ORTOPEDIA PREMIUM,P,Ortopèdia,,"ORTOPEDIA PREMIUM, SL",649877585,CR,CARRER,BOGATELL,14,,,,,,,08930,08194,SANT ADRIÀ DE BESÒS,,13,BARCELONES,08,BARCELONA,311,Sant Adrià de Besòs - 1,7867,Barcelonès Nord i Maresme,78,Barcelona,2.216972669,41.432540091,POINT (2.216972669 41.432540091)
V08554954,ÒPTICA SANTPEDOR,V,Òptica,,Íngrid Vilanova Casado,,CR,CARRER,AMPLE,4,,,,,,,08251,08192,SANTPEDOR,,07,BAGES,08,BARCELONA,211,Navarcles - Sant Fruitós de Bages,6763,Solsonès - Bages - Berguedà,67,Catalunya Central,1.838355639,41.784624892,POINT (1.838355639 41.784624892)
F08009003,"ALCALDE ORELLANA, MARIA GRACIA",F,Farmàcia,,Ma. Gracia Alcalde Orellana,934369201,PS,PASSEIG,MARAGALL,75,,,,,,,08041,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,326,Barcelona - 07G,7853,Barcelona Horta - Guinardó,78,Barcelona,2.180213502,41.417492419,POINT (2.180213502 41.417492419)
F08009500,"BOSQUE GUARNER, MIGUEL",F,Farmàcia,,MIGUEL BOSQUE GUARNER,932479241,PS,PASSEIG,SANT GERVASI,75,,,,,,,08022,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,046,Barcelona - 05E,7850,Barcelona Sarrià - Sant Gervasi,78,Barcelona,2.137861934,41.412639755,POINT (2.137861934 41.412639755)
F17003347,"SORIANO BARRUFET, ABEL",F,Farmàcia,,"SORIANO BARRUFET, ABEL",972860444,CR,CARRER,MOSSEN SEGIMON FOLGUEROLES,45,,,,,,,17401,17009,ARBÚCIES,,34,SELVA,17,GIRONA,008,Arbúcies - Sant Hilari,6462,Girona Sud,64,Girona,2.511199293,41.816699562,POINT (2.511199293 41.816699562)
V43532799,MAS VISIÓN ÒPTICA LA RÀPITA,V,Òptica,,Cristina Sánchez López,,CR,CARRER,GORRIA,20,,,,,BA,,43540,43136,SANT CARLES DE LA RÀP,,22,MONTSIA,43,TARRAGONA,206,La Ràpita - Alcanar,6360,Terres de l'Ebre,63,Terres de l'Ebre,0.591881699,40.618130259,POINT (0.591881699 40.618130259)
F08004527,"SAN MARTÍN CERVERA, HELENA",F,Farmàcia,,Helena San Martín Cervera,932184383,PL,PLAÇA,LLIBERTAT,2,,,,,,,08012,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,048,Barcelona - 06B,7852,Barcelona Gràcia,78,Barcelona,2.153880233,41.399943212,POINT (2.153880233 41.399943212)
F08013433,"RANZ RIERA, RUTH",F,Farmàcia,,Ruth Ranz Riera,933130856,CR,CARRER,AGRICULTURA,292,,,,,,,08020,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,078,Barcelona - 10H,7847,Barcelona Sant Martí,78,Barcelona,2.198980257,41.419986166,POINT (2.198980257 41.419986166)
F08013088,"PAREJO CUESTA, ANNA M.",F,Farmàcia,,Anna M. Parejo Cuesta,933007718,AV,AVINGUDA,MERIDIANA,30,,,,,,,08018,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,071,Barcelona - 10A,7847,Barcelona Sant Martí,78,Barcelona,2.187176288,41.395325074,POINT (2.187176288 41.395325074)
F17002368,"MONT BARTROLÍ, GERARD",F,Farmàcia,,GERARD MONT BARTROLI,972528104,CR,CARRER,MAS VIDAL,7,,,,,,,17730,17093,LLERS,,02,ALT EMPORDA,17,GIRONA,267,Vilafant,6461,Girona Nord,64,Girona,2.911960455,42.295348977,POINT (2.911960455 42.295348977)
V08545621,ÒPTICA I ORTOPEDIA SANT JORDI,V,Òptica,,Montserrat Masriera Casas,936823871,CR,CARRER,ESTATUT,9,,,,,,,08740,08196,SANT ANDREU DE LA BARC,,11,BAIX LLOBREGAT,08,BARCELONA,201,Sant Andreu de la Barca,7831,Baix Llobregat Nord,78,Barcelona,1.971307839,41.447896897,POINT (1.971307839 41.447896897)
F08024450,"AMETLLA PALLI, SÍLVIA",F,Farmàcia,,Sílvia Ametlla Palli,937924770,CR,CARRER,D'AVALL,18,,,,,,,08350,08006,ARENYS DE MAR,,21,MARESME,08,BARCELONA,009,Arenys de Mar,7867,Barcelonès Nord i Maresme,78,Barcelona,2.549800705,41.578634302,POINT (2.549800705 41.578634302)
F08018382,"VIÑAS CASTELLS, MERCÈ",F,Farmàcia,,Mercè Viñas Castells,934396866,CR,CARRER,CORSEGA,78-80,,,,,,,08029,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,023,Barcelona - 02C,7851,Barcelona Eixample,78,Barcelona,2.144676215,41.385330194,POINT (2.144676215 41.385330194)
V25506767,FEDERÒPTICS BELLPUIG,V,Òptica,,,973321340,PL,PLAÇA,RAMON FOLCH,4,,,,,,,25250,25050,BELLPUIG,,38,URGELL,25,LLEIDA,081,Bellpuig,6156,Lleida,61,Lleida,1.008862177,41.626694585,POINT (1.008862177 41.626694585)
F08008031,"ANDREU LLEAL, M ASUNCION",F,Farmàcia,,Ma. Asunción Andreu Lleal,934171118,CR,CARRER,GANDUXER,94,,,,,,,08022,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,043,Barcelona - 05B,7850,Barcelona Sarrià - Sant Gervasi,78,Barcelona,2.133992731,41.399697517,POINT (2.133992731 41.399697517)
A08559487,RODRIGO AUDIÒFONS,A,Audiopròtesi,,"OPTI-AUDI ANOIA,SL",938047647,CR,CARRER,SANT PAU,10,,,,,,,08700,08102,IGUALADA,,06,ANOIA,08,BARCELONA,371,Igualada - 1,6735,Anoia,67,Catalunya Central,1.619248551,41.579765952,POINT (1.619248551 41.579765952)
F08008049,"GOMEZ NUÑEZ, M TERESA",F,Farmàcia,,Ma. Teresa Gómez Núñez,934174911,CR,CARRER,BERTRAN,129,,,,,,,08023,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,046,Barcelona - 05E,7850,Barcelona Sarrià - Sant Gervasi,78,Barcelona,2.139619628,41.410085286,POINT (2.139619628 41.410085286)
F08002110,"TURA LLADO, JAUME",F,Farmàcia,,Jaume Tura Lladó,936613343,AV,AVINGUDA,SANTA COLOMA,1-3,,,,,,,08690,08244,SANTA COLOMA DE CERVEL,,11,BAIX LLOBREGAT,08,BARCELONA,203,Sant Boi de Llobregat - 2,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.0179985,41.368011463,POINT (2.0179985 41.368011463)
R25000138,ALCANO,R,Farmaciola,F25004319,,973186298,CR,CARRER,MAJOR,13,,,,,,,25162,25010,ALCANÓ,,33,SEGRIA,25,LLEIDA,329,Lleida rural - 2 Sud,6156,Lleida,61,Lleida,0.617155825,41.480528352,POINT (0.617155825 41.480528352)
V25529820,LERÒPTIC GABINET D'OPTOMETRIA,V,Òptica,,"Tadili de Negocios, SL",,AV,AVINGUDA,CATALUNYA,5-7,,,,,,,25002,25120,LLEIDA,,33,SEGRIA,25,LLEIDA,136,Lleida - 2 Ronda - Mariola,6156,Lleida,61,Lleida,0.621065551,41.611085566,POINT (0.621065551 41.611085566)
F08012599,"GOLANO GIBERT, MARTA",F,Farmàcia,,Marta Golano Gibert,933314594,CR,CARRER,PARETO,31,,,,,,,08902,08101,HOSPITALET DE LLOBRE,L',13,BARCELONES,08,BARCELONA,292,L'Hospitalet de Llobregat - 05 Santa Eulàlia Nord,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.127645924,41.365433857,POINT (2.127645924 41.365433857)
F43001340,"VIDAL CAÑAS, NÚRIA",F,Farmàcia,,Núria Vidal cañas,977792712,CR,CARRER,CONSOLAT DE MAR,70,,,,,,,43850,43038,CAMBRILS,,08,BAIX CAMP,43,TARRAGONA,091,Cambrils,6259,Baix Camp - Priorat,62,Camp de Tarragona,1.05898343,41.071037825,POINT (1.05898343 41.071037825)
V08543818,ÓPTICA UNIVERSITÀRIA,V,Òptica,,"ÒPTICA DEL PENEDÈS, S.L.",932601220,CR,CARRER,SANT ISCLE,2,,,,,,,08031,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,385,Barcelona - 08J,7854,Barcelona Nou Barris,78,Barcelona,2.174005349,41.43053274,POINT (2.174005349 41.43053274)
F08011482,"LARRINAGA CASADO, JOSÉ RAMÓN",F,Farmàcia,,"LARRINAGA CASADO, JOSE RAMON",933710392,CR,CARRER,ISIDRE MARTI,40,,,,,,,08950,08077,ESPLUGUES DE LLOBREGAT,,11,BAIX LLOBREGAT,08,BARCELONA,117,Esplugues de Llobregat - 2,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.083340698,41.375792953,POINT (2.083340698 41.375792953)
F08014564,"ESPINAS JANER, MARTA",F,Farmàcia,,Marta Espinàs Janer,933895249,CM,CAMI,RAL,5,,,,,,,08390,08126,MONTGAT,,21,MARESME,08,BARCELONA,319,Montgat,7867,Barcelonès Nord i Maresme,78,Barcelona,2.279707021,41.466730046,POINT (2.279707021 41.466730046)
V08502402,ÒPTICA BERLUMER,V,Òptica,,"ÒPTICA BERLUMER, SL",,CR,CARRER,COROMINAS,15,,,,,,,08201,08187,SABADELL,,40,VALLES OCCIDENTAL,08,BARCELONA,190,Sabadell - 1A,7844,Vallès Occidental Est,78,Barcelona,2.104510495,41.546996694,POINT (2.104510495 41.546996694)
F08008786,"CAMPO GÜERRI, M. LOURDES",F,Farmàcia,,María Lourdes Campo Güerri,934393853,CR,CARRER,TAQUIGRAF SERRA,3,,,,,,,08029,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,039,Barcelona - 04A,7848,Barcelona Les Corts,78,Barcelona,2.138718895,41.38593689,POINT (2.138718895 41.38593689)
V08522656,ÒPTICA CALAF,V,Òptica,,"GRUP ÒPTICA CERVERA-CALAF, SCP",,PL,PLAÇA,DELS ARBRES,1,,,,,,,08280,08031,CALAF,,06,ANOIA,08,BARCELONA,088,Calaf,6735,Anoia,67,Catalunya Central,1.513297629,41.732778599,POINT (1.513297629 41.732778599)
F08024957,"BELART ESQUERRÀ, ALBERT",F,Farmàcia,,Albert Belart Esquerrà,935791769,RB,RAMBLA,NOVA,25,,,,,,,08100,08124,MOLLET DEL VALLÈS,,41,VALLES ORIENTAL,08,BARCELONA,349,Mollet del Vallès - 2 Oest,7842,Vallès Oriental,78,Barcelona,2.210689512,41.538893974,POINT (2.210689512 41.538893974)
A08560651,ÒPTICA HISPANO,A,Audiopròtesi,,"Hispanòptica, SA",933841306,AV,AVINGUDA,MARTI PUJOL,21,,,,,,,08912,08015,BADALONA,,13,BARCELONES,08,BARCELONA,273,Badalona - 02,7867,Barcelonès Nord i Maresme,78,Barcelona,2.248428388,41.446456734,POINT (2.248428388 41.446456734)
V17546311,L'ÒPTICA UNIVERSITÀRIA,V,Òptica,,"ÒPTICA DEL PENEDÈS, S.L.",,AV,AVINGUDA,PAISOS CATALANS,19-23,,,,,,,17700,17086,LA JONQUERA,,02,ALT EMPORDA,17,GIRONA,133,La Jonquera,6461,Girona Nord,64,Girona,2.881621995,42.402513002,POINT (2.881621995 42.402513002)
V08517085,ÒPTICA 3003 SANT BOI,V,Òptica,,ÒPTICA 3003 SANT BOI S.L,,PL,PLAÇA,AJUNTAMENT,8,,,,,,,08830,08200,SANT BOI DE LLOBREGAT,,11,BAIX LLOBREGAT,08,BARCELONA,202,Sant Boi de Llobregat - 1,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.0427212,41.347348167,POINT (2.0427212 41.347348167)
A08558814,AURAL,A,Audiopròtesi,,Widex Audífonos SA,937451009,CR,CARRER,RAMBLA,60,,,,,,,08201,08187,SABADELL,,40,VALLES OCCIDENTAL,08,BARCELONA,190,Sabadell - 1A,7844,Vallès Occidental Est,78,Barcelona,2.10985033,41.544623225,POINT (2.10985033 41.544623225)
A08560186,COTTET ÒPTICS,A,Audiopròtesi,,SOCIEDAD ANÓNIMA COTTET,,PL,PLAÇA,VELLA,9,,,,,,,08221,08279,TERRASSA,,40,VALLES OCCIDENTAL,08,BARCELONA,247,Terrassa - A,7843,Vallès Occidental Oest,78,Barcelona,2.011171611,41.562269244,POINT (2.011171611 41.562269244)
V43544836,ÒPTICA SALAS,V,Òptica,,"OPTICA SALAS, S.L.",977781308,PL,PLAÇA,PRIM,2,,,,,,,43201,43123,REUS,,08,BAIX CAMP,43,TARRAGONA,303,Reus - 1,6259,Baix Camp - Priorat,62,Camp de Tarragona,1.106827891,41.156262325,POINT (1.106827891 41.156262325)
F08019202,"RIBES IBORRA, ÁNGELA",F,Farmàcia,,Ángela Ribes Iborra,936996899,CR,CARRER,TORRES ORIOL,4,,,,,,,08191,08184,RUBÍ,,40,VALLES OCCIDENTAL,08,BARCELONA,310,Rubí - 2,7843,Vallès Occidental Oest,78,Barcelona,2.03641041,41.489648354,POINT (2.03641041 41.489648354)
V08759302,GAFAS.ES GRANOLLERS,V,Òptica,,"GAFAS EN RED DE ÓPTICAS, SLU",639854376,CR,CARRER,VELL DE CANOVELLES,23,,,,,,,08403,08096,GRANOLLERS,,41,VALLES ORIENTAL,08,BARCELONA,284,Granollers - 1 Oest,7842,Vallès Oriental,78,Barcelona,2.282335034,41.6127899,POINT (2.282335034 41.6127899)
F25016434,"ALFONSO GALAN, MARIA ENCINA",F,Farmàcia,,"ALFONSO GALAN, MARIA ENCINA",973126101,PL,PLAÇA,MESTRE COSTA,10,,,,,,,25175,25200,SARROCA DE LLEIDA,,33,SEGRIA,25,LLEIDA,329,Lleida rural - 2 Sud,6156,Lleida,61,Lleida,0.561819319,41.45810277,POINT (0.561819319 41.45810277)
F43002512,"MEDRANO DE LA MAZA, LUIS MIGUEL / MAURI SELLÉS, Ma. ASSUMPTA",F,Farmàcia,,Luis Miguel Medrano de la Maza i Ma. Assumpta Mauri Sellés,977690308,CR,CARRER,SANT PERE,44-46,,,,,,,43820,43037,CALAFELL,,12,BAIX PENEDES,43,TARRAGONA,357,Calafell,6258,Tarragonès - Baix Penedès,62,Camp de Tarragona,1.569486639,41.18838988,POINT (1.569486639 41.18838988)
A08559455,AURIS CENTRE AUDITIU,A,Audiopròtesi,,"Periago-Balmes, SCP",934604077,CR,CARRER,FRANCISCO DE QUEVEDO,24,,,,,,,08914,08015,BADALONA,,13,BARCELONES,08,BARCELONA,342,Badalona - 07B,7867,Barcelonès Nord i Maresme,78,Barcelona,2.226204105,41.440527645,POINT (2.226204105 41.440527645)
F08020818,"ALVAREZ FERNANDEZ, ROSA MARIA",F,Farmàcia,,Rosa Ma. Álvarez Fernández,933775391,CT,CARRETERA,SANT JOAN DESPI,25,,A,,,,,08940,08073,CORNELLÀ DE LLOBREGAT,,11,BAIX LLOBREGAT,08,BARCELONA,108,Cornellà de Llobregat - 1,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.062648262,41.359896644,POINT (2.062648262 41.359896644)
A08562306,ÒPTICA ALEN,A,Audiopròtesi,,Maria José Enguix Monclús,932009060,CR,CARRER,MUNTANER,468,,,,,,,08006,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,043,Barcelona - 05B,7850,Barcelona Sarrià - Sant Gervasi,78,Barcelona,2.13885032,41.402258299,POINT (2.13885032 41.402258299)
F08015247,"SAN MARTIN PELAEZ, MARIA MONTSERRAT",F,Farmàcia,,Ma. Montserrat San Martín Peláez,932350807,CR,CARRER,BRUSEL.LES,43,,,,,,,08041,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,051,Barcelona - 07A,7853,Barcelona Horta - Guinardó,78,Barcelona,2.169401171,41.41760904,POINT (2.169401171 41.41760904)
F08016970,"PUGES CRISOL, M CARMEN",F,Farmàcia,,Ma. Carmen Pugés Crisol,936623113,PS,PASSEIG,JOAN MARAGALL,23,,,,,,,08850,08089,GAVÀ,,11,BAIX LLOBREGAT,08,BARCELONA,123,Gavà - 2,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.000889126,41.302325849,POINT (2.000889126 41.302325849)
V08562867,ÒPTICA FONTANA,V,Òptica,,Sergio Moltó Ribes,,CR,CARRER,ASTURIES,53,,,,,,,08012,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,049,Barcelona - 06C,7852,Barcelona Gràcia,78,Barcelona,2.154975007,41.403864775,POINT (2.154975007 41.403864775)
R43000032,VILAVERD,R,Farmaciola,F43000032,,977876337,PL,PLAÇA,DE LA BASCULA,S/N,,,,,,,43490,43172,VILAVERD,,16,CONCA DE BARBERA,43,TARRAGONA,333,Alt Camp Oest,6257,Alt Camp - Conca de Barberà,62,Camp de Tarragona,1.176804094,41.336858713,POINT (1.176804094 41.336858713)
F08000040,"RIGOLA GARROFE, DOLÇA",F,Farmàcia,,Dolça Rigola Garrofé,937920237,PL,PLAÇA,ESGLESIA,3,,,,,,,08350,08006,ARENYS DE MAR,,21,MARESME,08,BARCELONA,009,Arenys de Mar,7867,Barcelonès Nord i Maresme,78,Barcelona,2.549933223,41.580881417,POINT (2.549933223 41.580881417)
F25002103,"ARENY ARENY, NÚRIA",F,Farmàcia,,Núria Areny Areny,973586466,AV,AVINGUDA,ONZE SETEMBRE,144,,,,,,,25337,25047,BELLCAIRE D'URGELL,,23,NOGUERA,25,LLEIDA,014,Balaguer,6156,Lleida,61,Lleida,0.905008351,41.758049745,POINT (0.905008351 41.758049745)
F08013881,"LLORENS BERNAT, M TERESA",F,Farmàcia,,Ma. Teresa Llorens Bernat,936652694,CR,CARRER,AGUSTINA D'ARAGO,87,,,,,,,08860,08056,CASTELLDEFELS,,11,BAIX LLOBREGAT,08,BARCELONA,365,Castelldefels - 1,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,1.979975604,41.287961542,POINT (1.979975604 41.287961542)
F08020293,"ALTIRRIBA PERTEGAZ, JOAN",F,Farmàcia,,Joan Altirriba Pertegaz,937595958,CR,CARRER,SANTA MARIA,93,,,,,,,08340,08219,VILASSAR DE MAR,,21,MARESME,08,BARCELONA,271,Vilassar de Mar,7867,Barcelonès Nord i Maresme,78,Barcelona,2.384600673,41.501551391,POINT (2.384600673 41.501551391)
F08024322,"MÁRQUEZ IGLESIAS, HELENA/LÓPEZ ESCUDER, MARC",F,Farmàcia,,HELENA MÁRQUEZ IGLESIAS/MARC LÓPEZ ESCUDER,936917059,CR,CARRER,PALAU AUSIT,1,,,,,,,08291,08180,RIPOLLET,,40,VALLES OCCIDENTAL,08,BARCELONA,387,Ripollet - 2,7844,Vallès Occidental Est,78,Barcelona,2.157408054,41.502516011,POINT (2.157408054 41.502516011)
